plant_name,insect_name,interaction_type,source_db,n_obs,geo,year_range
Amphipsylla montana,Microtus juldaschi,pollination,WebOfLife,2,,
Amphipsylla phaiomydis,Microtus juldaschi,pollination,WebOfLife,2,,
Amphipsylla primaris,Microtus juldaschi,pollination,WebOfLife,2,,
Frontopsylla protera,Microtus juldaschi,pollination,WebOfLife,2,,
Leptopsylla nana,Microtus juldaschi,pollination,WebOfLife,2,,
Neopsylla meridiana,Microtus juldaschi,pollination,WebOfLife,2,,
Oropsylla silantiewi,Microtus juldaschi,pollination,WebOfLife,1,,
Rhadinopsylla dahurica,Microtus juldaschi,pollination,WebOfLife,1,,
Rhadinopsylla li,Microtus juldaschi,pollination,WebOfLife,1,,
Frontopsylla ambigua,Alticola argentatus,pollination,WebOfLife,1,,
Pectinoctenus nemorosa,Alticola argentatus,pollination,WebOfLife,3,,
Ceratophyllus sinicus,Marmota caudata,pollination,WebOfLife,1,,
Frontopsylla ambigua,Marmota caudata,pollination,WebOfLife,1,,
Callopsylla lagomys,Microtus juldaschi,pollination,WebOfLife,1,,
Citellophilus lebedewi,Microtus juldaschi,pollination,WebOfLife,1,,
Frontopsylla ambigua,Microtus juldaschi,pollination,WebOfLife,1,,
Frontopsylla ornata,Microtus juldaschi,pollination,WebOfLife,1,,
Pectinoctenus nemorosa,Microtus juldaschi,pollination,WebOfLife,1,,
Rhadinopsylla altifrons,Microtus juldaschi,pollination,WebOfLife,1,,
Nosopsyllus simla,Rattus turkestanicus,pollination,WebOfLife,1,,
Paraneopsylla ioffi,Rattus turkestanicus,pollination,WebOfLife,1,,
Echidnophaga oschanini,Allactaga major,pollination,WebOfLife,1,,
Mesopsylla lenis,Allactaga major,pollination,WebOfLife,1,,
Mesopsylla tuschkan,Allactaga major,pollination,WebOfLife,1,,
Ophthalmopsylla volgensis,Allactaga major,pollination,WebOfLife,1,,
Xenopsylla skrjabini,Allactaga major,pollination,WebOfLife,1,,
Amphipsylla kalabukhovi,Allocricetulus eversmanni,pollination,WebOfLife,2,,
Ophthalmopsylla volgensis,Allocricetulus eversmanni,pollination,WebOfLife,1,,
Citellophilus trispinus,Spermophilus fulvus,pollination,WebOfLife,4,,
Nosopsyllus laeviceps,Spermophilus fulvus,pollination,WebOfLife,3,,
Xenopsylla skrjabini,Spermophilus fulvus,pollination,WebOfLife,2,,
Coptopsylla lamellifer,Meriones meridianus,pollination,WebOfLife,3,,
Mesopsylla hebes,Meriones meridianus,pollination,WebOfLife,1,,
Mesopsylla lenis,Meriones meridianus,pollination,WebOfLife,1,,
Mesopsylla tuschkan,Meriones meridianus,pollination,WebOfLife,1,,
Rhadinopsylla cedestis,Meriones meridianus,pollination,WebOfLife,2,,
Xenopsylla skrjabini,Meriones meridianus,pollination,WebOfLife,1,,
Citellophilus trispinus,Meriones tamariscinus,pollination,WebOfLife,2,,
Coptopsylla lamellifer,Meriones tamariscinus,pollination,WebOfLife,2,,
Rhadinopsylla cedestis,Meriones tamariscinus,pollination,WebOfLife,1,,
Xenopsylla skrjabini,Meriones tamariscinus,pollination,WebOfLife,1,,
Mesopsylla hebes,Pygeretmus pumilio,pollination,WebOfLife,1,,
Mesopsylla lenis,Pygeretmus pumilio,pollination,WebOfLife,1,,
Nosopsyllus laeviceps,Pygeretmus pumilio,pollination,WebOfLife,1,,
Rhadinopsylla cedestis,Pygeretmus pumilio,pollination,WebOfLife,1,,
Xenopsylla skrjabini,Pygeretmus pumilio,pollination,WebOfLife,1,,
Citellophilus trispinus,Rhombomys opimus,pollination,WebOfLife,3,,
Ctenophthalmus breviatus,Rhombomys opimus,pollination,WebOfLife,1,,
Frontopsylla semura,Rhombomys opimus,pollination,WebOfLife,1,,
Mesopsylla hebes,Rhombomys opimus,pollination,WebOfLife,1,,
Mesopsylla lenis,Rhombomys opimus,pollination,WebOfLife,2,,
Mesopsylla tuschkan,Rhombomys opimus,pollination,WebOfLife,1,,
Ophthalmopsylla volgensis,Rhombomys opimus,pollination,WebOfLife,1,,
Stenoponia conspecta,Rhombomys opimus,pollination,WebOfLife,3,,
Ctenophthalmus breviatus,Stylodipus telum,pollination,WebOfLife,1,,
Frontopsylla semura,Stylodipus telum,pollination,WebOfLife,1,,
Mesopsylla hebes,Stylodipus telum,pollination,WebOfLife,1,,
Nosopsyllus laeviceps,Stylodipus telum,pollination,WebOfLife,1,,
Peromyscopsylla ostsibirica,Clethrionomys rufocanus,pollination,WebOfLife,3,,
Peromyscopsylla ostsibirica,Apodemus peninsulae,pollination,WebOfLife,1,,
Megabothris calcarifer,Apodemus peninsulae,pollination,WebOfLife,1,,
Neopsylla bidentatiformis,Apodemus peninsulae,pollination,WebOfLife,2,,
Ctenophthalmus congeneroides,Microtus fortis,pollination,WebOfLife,2,,
Megabothris calcarifer,Microtus fortis,pollination,WebOfLife,2,,
Neopsylla bidentatiformis,Microtus fortis,pollination,WebOfLife,2,,
Rhadinopsylla insolita,Microtus fortis,pollination,WebOfLife,1,,
Amphipsylla sibirica,Clethrionomys rufocanus,pollination,WebOfLife,4,,
Ctenophyllus armatus,Tamias sibiricus,pollination,WebOfLife,2,,
Frontopsylla semura,Allocricetulus eversmanni,pollination,WebOfLife,1,,
Ctenophthalmus breviatus,Marmota bobak,pollination,WebOfLife,1,,
Frontopsylla semura,Spermophilus fulvus,pollination,WebOfLife,1,,
Amphipsylla primaris,Spermophilus undulatus,pollination,WebOfLife,3,,
Ctenophyllus hirticrus,Spermophilus undulatus,pollination,WebOfLife,2,,
