plant_name,insect_name,interaction_type,source_db,n_obs,geo,year_range
Urospermum picroides,Oedemera nobilis,pollination,EuPPollNet,2,Spain,
Cistus albidus,Andrena ovatula,pollination,EuPPollNet,2,Spain,
Galactites tomentosus,Pyronia tithonus,pollination,EuPPollNet,1,Spain,
Cistus albidus,Oedemera nobilis,pollination,EuPPollNet,2,Spain,
Galactites tomentosus,Hoplitis adunca,pollination,EuPPollNet,1,Spain,
Carpobrotus acinaciformis,Xylocopa iris,pollination,EuPPollNet,1,Spain,
Galactites tomentosus,Andrena tenuistriata,pollination,EuPPollNet,1,Spain,
Cistus salviifolius,Andrena ovatula,pollination,EuPPollNet,4,Spain,
Cistus monspeliensis,Andrena ovatula,pollination,EuPPollNet,2,Spain,
Cistus monspeliensis,Halictus pyrenaeus,pollination,EuPPollNet,1,Spain,
Sonchus tenerrimus,Mylabris quadripunctata,pollination,EuPPollNet,2,Spain,
Lomelosia stellata,Apis mellifera,pollination,EuPPollNet,11,Spain,
Daucus carota,Trichodes apiarius,pollination,EuPPollNet,4,Spain,
Daucus carota,Mylabris quadripunctata,pollination,EuPPollNet,3,Spain,
Lomelosia stellata,Mylabris quadripunctata,pollination,EuPPollNet,3,Spain,
Convolvulus althaeoides,Halictus pyrenaeus,pollination,EuPPollNet,1,Spain,
Eryngium campestre,Vanessa atalanta,pollination,EuPPollNet,2,Spain,
Urospermum picroides,Mylabris quadripunctata,pollination,EuPPollNet,1,Spain,
Lomelosia stellata,Ceratina cucurbitina,pollination,EuPPollNet,1,Spain,
Sonchus tenerrimus,Trichodes apiarius,pollination,EuPPollNet,1,Spain,
Urospermum picroides,Seladonia gemmea,pollination,EuPPollNet,1,Spain,
Daucus carota,Camponotus aethiops,pollination,EuPPollNet,1,Spain,
Daucus carota,Hylaeus nigritus,pollination,EuPPollNet,1,Spain,
Lomelosia stellata,Bombus terrestris,pollination,EuPPollNet,1,Spain,
Lomelosia stellata,Papilio machaon,pollination,EuPPollNet,1,Spain,
Sonchus tenerrimus,Osmia submicans,pollination,EuPPollNet,2,Spain,
Opuntia stricta,Lasioglossum interruptum,pollination,EuPPollNet,1,Spain,
Eryngium campestre,Oedemera flavipes,pollination,EuPPollNet,7,Spain,
Lomelosia stellata,Trichodes apiarius,pollination,EuPPollNet,1,Spain,
Lomelosia stellata,Conophorus virescens,pollination,EuPPollNet,1,Spain,
Opuntia stricta,Mordellistena pumila,pollination,EuPPollNet,3,Spain,
Opuntia stricta,Oedemera flavipes,pollination,EuPPollNet,2,Spain,
Lomelosia stellata,Pieris rapae,pollination,EuPPollNet,1,Spain,
Daucus carota,Gymnosoma rotundatum,pollination,EuPPollNet,7,Spain,
Eryngium campestre,Seladonia gemmea,pollination,EuPPollNet,3,Spain,
Opuntia stricta,Mylabris quadripunctata,pollination,EuPPollNet,20,Spain,
Eryngium campestre,Hylaeus nigritus,pollination,EuPPollNet,1,Spain,
Petrosedum sediforme,Scolia hirta,pollination,EuPPollNet,2,Spain,
Petrosedum sediforme,Megachile argentata,pollination,EuPPollNet,2,Spain,
Daucus carota,Oedemera barbara,pollination,EuPPollNet,98,Spain,
Petrosedum sediforme,Oedemera flavipes,pollination,EuPPollNet,8,Spain,
Petrosedum sediforme,Seladonia subaurata,pollination,EuPPollNet,1,Spain,
Ruta chalepensis,Trichodes apiarius,pollination,EuPPollNet,1,Spain,
Ruta chalepensis,Hylaeus nigritus,pollination,EuPPollNet,2,Spain,
Ruta chalepensis,Polistes gallicus,pollination,EuPPollNet,2,Spain,
Tuberaria guttata,Megachile argentata,pollination,EuPPollNet,1,Spain,
Petrosedum sediforme,Apis mellifera,pollination,EuPPollNet,17,Spain,
Ruta chalepensis,Mordellistena pumila,pollination,EuPPollNet,6,Spain,
Petrosedum sediforme,Mordellistena pumila,pollination,EuPPollNet,1,Spain,
Petrosedum sediforme,Bombus terrestris,pollination,EuPPollNet,1,Spain,
Ruta chalepensis,Oedemera flavipes,pollination,EuPPollNet,1,Spain,
Bituminaria bituminosa,Rhodanthidium sticticum,pollination,EuPPollNet,9,Spain,
