plant,insect,group
"Ulex europaeus","Andrena dorsata","Bee"
"Ulex gallii","Andrena dorsata","Bee"
"Ulex minor","Andrena dorsata","Bee"
"Verbascum nigrum","Andrena dorsata","Bee"
"Veronica chamaedrys","Andrena dorsata","Bee"
"Ficaria verna","Andrena falsifica","Bee"
"Potentilla erecta","Andrena falsifica","Bee"
"Acer campestre","Andrena ferox","Bee"
"Acer pseudoplatanus","Andrena ferox","Bee"
"Crataegus monogyna","Andrena ferox","Bee"
"Achillea millefolium","Andrena flavipes","Bee"
"Achillea ptarmica","Andrena flavipes","Bee"
"Alliaria petiolata","Andrena flavipes","Bee"
"Angelica sylvestris","Andrena flavipes","Bee"
"Armeria maritima","Andrena flavipes","Bee"
"Barbarea vulgaris","Andrena flavipes","Bee"
"Bellis perennis","Andrena flavipes","Bee"
"Blackstonia perfoliata","Andrena flavipes","Bee"
"Brassica nigra","Andrena flavipes","Bee"
"Cakile maritima","Andrena flavipes","Bee"
"Centaurea cyanus","Andrena flavipes","Bee"
"Centaurea nigra","Andrena flavipes","Bee"
"Centaurea scabiosa","Andrena flavipes","Bee"
"Cirsium acaule","Andrena flavipes","Bee"
"Cirsium arvense","Andrena flavipes","Bee"
"Cirsium dissectum","Andrena flavipes","Bee"
"Cirsium eriophorum","Andrena flavipes","Bee"
"Cirsium heterophyllum","Andrena flavipes","Bee"
"Cirsium palustre","Andrena flavipes","Bee"
"Cirsium tuberosum","Andrena flavipes","Bee"
"Cirsium vulgare","Andrena flavipes","Bee"
"Conium maculatum","Andrena flavipes","Bee"
"Cotoneaster bullatus","Andrena flavipes","Bee"
"Cotoneaster horizontalis","Andrena flavipes","Bee"
"Cotoneaster simonsii","Andrena flavipes","Bee"
"Crataegus monogyna","Andrena flavipes","Bee"
"Daucus carota","Andrena flavipes","Bee"
"Echium plantagineum","Andrena flavipes","Bee"
"Echium vulgare","Andrena flavipes","Bee"
"Eryngium maritimum","Andrena flavipes","Bee"
"Euphorbia amygdaloides","Andrena flavipes","Bee"
"Euphorbia hyberna","Andrena flavipes","Bee"
"Euphorbia paralias","Andrena flavipes","Bee"
"Euphorbia portlandica","Andrena flavipes","Bee"
"Filipendula vulgaris","Andrena flavipes","Bee"
"Foeniculum vulgare","Andrena flavipes","Bee"
"Hedera helix","Andrena flavipes","Bee"
"Helminthotheca echioides","Andrena flavipes","Bee"
"Heracleum sphondylium","Andrena flavipes","Bee"
"Hyacinthoides non-scripta","Andrena flavipes","Bee"
"Inula conyzae","Andrena flavipes","Bee"
"Inula crithmoides","Andrena flavipes","Bee"
"Inula helenium","Andrena flavipes","Bee"
"Knautia arvensis","Andrena flavipes","Bee"
"Lepidium draba","Andrena flavipes","Bee"
"Leucanthemum vulgare","Andrena flavipes","Bee"
"Limonium binervosum","Andrena flavipes","Bee"
"Limonium vulgare","Andrena flavipes","Bee"
"Lotus corniculatus","Andrena flavipes","Bee"
"Medicago sativa","Andrena flavipes","Bee"
"Melilotus officinalis","Andrena flavipes","Bee"
"Myosotis arvensis","Andrena flavipes","Bee"
"Myosotis scorpioides","Andrena flavipes","Bee"
"Nepeta cataria","Andrena flavipes","Bee"
"Oenanthe crocata","Andrena flavipes","Bee"
"Origanum vulgare","Andrena flavipes","Bee"
"Prunus avium","Andrena flavipes","Bee"
"Prunus cerasifera","Andrena flavipes","Bee"
"Prunus cerasus","Andrena flavipes","Bee"
"Prunus domestica","Andrena flavipes","Bee"
"Prunus laurocerasus","Andrena flavipes","Bee"
"Prunus padus","Andrena flavipes","Bee"
"Prunus spinosa","Andrena flavipes","Bee"
"Pulicaria dysenterica","Andrena flavipes","Bee"
"Ranunculus repens","Andrena flavipes","Bee"
"Reseda lutea","Andrena flavipes","Bee"
"Rubus fruticosus","Andrena flavipes","Bee"
"Salix alba","Andrena flavipes","Bee"
"Salix aurita","Andrena flavipes","Bee"
"Salix caprea","Andrena flavipes","Bee"
"Salix cinerea","Andrena flavipes","Bee"
"Salix fragilis","Andrena flavipes","Bee"
"Salix pentandra","Andrena flavipes","Bee"
"Salix repens","Andrena flavipes","Bee"
"Salix viminalis","Andrena flavipes","Bee"
"Senecio aquaticus","Andrena flavipes","Bee"
"Senecio cineraria","Andrena flavipes","Bee"
"Senecio erucifolius","Andrena flavipes","Bee"
"Senecio jacobaea","Andrena flavipes","Bee"
"Senecio squalidus","Andrena flavipes","Bee"
"Senecio vulgaris","Andrena flavipes","Bee"
"Sisymbrium officinale","Andrena flavipes","Bee"
"Smyrnium olusatrum","Andrena flavipes","Bee"
"Solidago canadensis","Andrena flavipes","Bee"
"Solidago virgaurea","Andrena flavipes","Bee"
"Stellaria graminea","Andrena flavipes","Bee"
"Stellaria holostea","Andrena flavipes","Bee"
"Stellaria media","Andrena flavipes","Bee"
"Stellaria nemorum","Andrena flavipes","Bee"
"Symphytum asperum x officinale = S. x uplandicum","Andrena flavipes","Bee"
"Symphytum officinale","Andrena flavipes","Bee"
